sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,totalSwimmingStrokeCount,totalFlightsClimbed,HKTimeZone,HKIndoorWorkout,HKWasUserEntered
HKWorkoutTypeIdentifier,Nike Run Club,2010130032,"iPhone8,4",,2020-10-28 00:03:38 +0000,2020-10-28 00:56:27 +0000,Running,2598.542000055313,sec,168.227 kcal,3222.55 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2010130032,"iPhone8,4",,2020-11-07 01:07:50 +0000,2020-11-07 01:45:01 +0000,Running,2226.991000175476,sec,181.364 kcal,3222.87 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2010130032,"iPhone8,4",,2020-11-11 01:20:02 +0000,2020-11-11 01:59:49 +0000,Running,2385.0520000457764,sec,178.261 kcal,3219.94 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2010130032,"iPhone8,4",,2020-11-13 01:08:10 +0000,2020-11-13 01:42:58 +0000,Running,2085.8180000782013,sec,174.843 kcal,3219.27 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2010130032,"iPhone8,4",,2020-11-18 00:17:08 +0000,2020-11-18 01:00:07 +0000,Running,2315.771000146866,sec,158.858 kcal,3220.62 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2010130032,"iPhone8,4",,2020-11-21 00:09:38 +0000,2020-11-21 00:36:28 +0000,Running,1604.1740000247955,sec,180.476 kcal,3219.14 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2010130032,"iPhone8,4",,2020-12-02 01:31:03 +0000,2020-12-02 02:10:41 +0000,Running,2267.7290000915527,sec,168.334 kcal,3222.54 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2011120430,"iPhone13,4",,2020-12-05 01:02:01 +0000,2020-12-05 01:47:16 +0000,Running,2691.1619997024536,sec,151.084 kcal,3221.29 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2011120430,"iPhone13,4",,2020-12-16 01:24:48 +0000,2020-12-16 02:02:26 +0000,Running,2256.705999851227,sec,155.009 kcal,3222.47 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2012110114,"iPhone13,4",,2021-01-17 14:53:53 +0000,2021-01-17 15:12:02 +0000,Running,1087.1500000953674,sec,80.605 kcal,1612.7 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2012110114,"iPhone13,4",,2021-01-21 23:55:50 +0000,2021-01-22 00:41:04 +0000,Running,2585.683000087738,sec,157.995 kcal,3220.67 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2102041750,"iPhone13,4",,2021-03-07 11:50:00 +0000,2021-03-07 12:09:50 +0000,Running,1186.577999830246,sec,79.233 kcal,1610.39 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2103011710,"iPhone8,4",,2021-03-14 22:13:13 +0000,2021-03-14 22:48:06 +0000,Running,2090.617000102997,sec,162.927 kcal,3317.73 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2102260130,"iPhone13,4",,2021-03-18 22:02:41 +0000,2021-03-18 22:16:21 +0000,Running,714.0869998931885,sec,54.739 kcal,1094.62 m,,,,0,
